ID,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,studytime,failures,schoolsup,famsup,paid,higher,romantic,famrel,Dalc,Walc,health,absences,G3,pass
198,M,16,R,LE3,T,3,3,teacher,other,father,1,0,no,yes,yes,yes,no,3,3,5,3,8,10,pass
199,F,17,U,GT3,T,4,4,services,teacher,mother,1,1,no,yes,no,yes,no,4,2,3,2,24,18,pass
200,F,16,U,LE3,T,4,4,teacher,teacher,mother,2,0,no,yes,yes,yes,no,4,1,2,3,0,10,pass
201,F,16,U,GT3,T,4,3,health,other,mother,2,0,no,yes,no,yes,no,4,1,5,2,2,16,pass
202,F,16,U,GT3,T,2,3,other,other,mother,2,0,yes,yes,yes,yes,no,4,1,3,4,6,10,pass
203,F,17,U,GT3,T,1,1,other,other,mother,2,0,no,yes,yes,yes,no,4,1,3,1,4,10,pass
204,F,17,R,GT3,T,2,2,other,other,mother,1,0,no,yes,no,yes,no,5,1,2,3,18,6,fail
205,F,16,R,GT3,T,2,2,services,services,mother,4,0,no,yes,yes,yes,no,5,1,1,5,6,11,pass
206,F,17,U,GT3,T,3,4,at_home,services,mother,3,1,no,yes,yes,yes,yes,4,3,4,5,28,9,fail
207,F,16,U,GT3,A,3,1,services,other,mother,2,3,no,yes,yes,yes,no,2,2,2,4,5,7,fail
208,F,16,U,GT3,T,4,3,teacher,other,mother,2,0,no,no,yes,yes,yes,1,1,1,1,10,13,pass
209,F,16,U,GT3,T,1,1,at_home,other,mother,1,0,no,yes,yes,yes,no,4,1,4,5,6,10,pass
210,F,17,R,GT3,T,4,3,teacher,other,mother,3,0,no,yes,yes,yes,yes,4,1,1,4,6,7,fail
211,F,19,U,GT3,T,3,3,other,other,other,4,0,no,yes,yes,yes,no,4,1,2,3,10,8,fail
212,M,17,U,LE3,T,4,4,services,other,mother,2,0,no,yes,yes,yes,yes,5,4,5,3,13,13,pass
213,F,16,U,GT3,A,2,2,other,other,mother,2,0,yes,yes,yes,yes,no,3,1,1,4,0,14,pass
214,M,15.5456538211476,U,GT3,T,2,2,services,other,mother,2,1,no,yes,yes,yes,no,4,2,4,5,15,8,fail
215,F,17,R,LE3,T,4,4,services,other,mother,1,0,no,yes,yes,yes,no,5,1,2,3,12,10,pass
216,M,17,U,LE3,T,3,2,other,other,mother,2,0,no,no,yes,yes,no,4,1,3,1,2,15,pass
217,F,17,U,GT3,T,4,3,other,other,mother,2,2,no,no,yes,yes,yes,3,2,4,1,22,4,fail
218,M,18,U,LE3,T,3,3,services,health,father,2,1,no,yes,yes,yes,no,3,2,4,4,13,8,fail
219,F,17,U,GT3,T,2,3,at_home,other,father,1,0,no,yes,yes,yes,no,3,1,4,3,3,8,fail
220,F,17.2267754733445,U,GT3,T,2,2,at_home,at_home,mother,3,0,no,yes,yes,yes,no,4,1,1,4,4,10,pass
221,F,17,R,GT3,T,2,1,at_home,services,mother,2,0,no,yes,no,yes,no,4,1,2,5,2,6,fail
222,F,17,U,GT3,T,1,1,at_home,other,mother,3,1,no,yes,no,yes,yes,4,1,1,5,0,0,fail
223,F,15.7558932462449,U,GT3,T,2,3,services,teacher,mother,2,0,yes,no,no,yes,no,2,1,1,3,2,17,pass
224,M,18,U,GT3,T,2,2,other,other,mother,2,0,no,yes,yes,yes,no,3,5,5,4,0,13,pass
225,F,16,U,GT3,T,4,4,teacher,services,mother,3,0,no,yes,no,yes,no,5,1,1,5,0,14,pass
226,F,18,R,GT3,T,3,1,other,other,mother,2,1,no,no,no,yes,yes,5,1,1,4,16,7,fail
227,F,17,U,GT3,T,3,2,other,other,mother,2,0,no,no,no,yes,no,5,1,3,3,10,15,pass
228,M,17,U,LE3,T,2,3,services,services,father,2,0,no,yes,yes,yes,no,5,1,3,3,2,12,pass
229,M,16.6513463862537,U,LE3,T,2,1,at_home,other,mother,2,0,yes,yes,yes,yes,yes,4,4,5,3,14,9,fail
230,F,17,U,GT3,A,2,1,other,other,mother,3,0,no,no,no,yes,yes,3,1,2,3,10,12,pass
231,F,17,U,LE3,T,4,3,health,other,father,2,0,no,no,no,yes,yes,3,1,2,3,14,14,pass
232,M,17,R,GT3,T,2,2,other,other,father,2,0,no,yes,yes,yes,no,4,1,1,1,4,11,pass
233,M,17,U,GT3,T,4,4,teacher,teacher,mother,2,0,yes,yes,no,yes,yes,4,1,3,2,14,9,fail
234,M,15.9528934536463,U,GT3,T,4,4,health,other,father,2,0,no,yes,yes,yes,no,4,2,4,1,2,13,pass
235,M,16,U,LE3,T,1,1,other,other,mother,2,0,no,yes,yes,yes,no,3,1,1,5,18,6,fail
236,M,16,U,GT3,T,3,2,at_home,other,mother,3,0,no,no,no,yes,yes,5,1,3,2,10,10,pass
237,M,17,U,LE3,T,2,2,other,other,father,2,0,no,no,yes,yes,yes,4,5,5,4,4,13,pass
238,F,16,U,GT3,T,2,1,other,other,mother,1,0,no,no,no,yes,yes,4,1,1,5,20,12,pass
239,F,17,R,GT3,T,2,1,at_home,services,mother,2,0,no,no,no,yes,no,2,1,1,3,2,11,pass
240,M,18,U,GT3,T,2,2,other,services,father,2,1,no,no,no,no,no,5,3,5,2,0,0,fail
241,M,17,U,LE3,T,4,3,health,other,mother,2,0,no,no,no,yes,yes,2,1,4,5,14,12,pass
242,M,17,R,LE3,A,4,4,teacher,other,mother,2,0,no,yes,yes,yes,no,3,2,3,4,2,12,pass
243,M,16,U,LE3,T,4,3,teacher,other,mother,1,0,no,no,no,yes,no,5,1,1,3,0,0,fail
244,M,16,U,GT3,T,4,4,services,services,mother,1,0,no,no,no,yes,no,5,1,2,5,0,12,pass
245,F,18,U,GT3,T,2,1,other,other,other,3,0,no,yes,yes,yes,yes,4,1,1,3,0,0,fail
246,M,16,U,GT3,T,2,1,other,other,mother,1,0,no,no,no,yes,no,4,1,1,4,6,18,pass
247,M,17,U,GT3,T,2,3,other,other,father,1,0,no,no,no,yes,no,5,1,1,2,4,13,pass
248,M,18,U,GT3,T,3,1,services,services,mother,1,3,no,no,no,no,yes,5,5,5,1,16,8,fail
249,M,18,R,LE3,T,3,3,other,services,mother,2,1,no,yes,no,yes,yes,4,1,3,5,8,5,fail
250,M,16,U,GT3,T,0,2,other,other,mother,1,0,no,no,yes,yes,no,4,2,4,5,0,15,pass
251,M,18,U,GT3,T,3,2,services,other,mother,1,1,no,no,no,no,no,4,2,4,5,0,8,fail
252,M,17.1685655948516,U,GT3,T,3,3,at_home,other,other,2,0,yes,yes,no,yes,no,5,1,3,2,6,10,pass
253,M,18,U,GT3,T,2,1,services,services,mother,1,1,no,no,no,no,no,3,2,5,5,4,8,fail
254,M,16,R,GT3,T,2,1,other,other,mother,1,0,no,no,no,yes,no,3,1,3,3,0,8,fail
255,M,16.0926345393914,R,GT3,T,2,1,other,other,mother,1,0,no,no,no,yes,no,4,2,4,5,0,12,pass
256,M,17,U,LE3,T,1,1,health,other,mother,1,1,no,yes,no,yes,no,4,1,2,5,2,8,fail
257,F,17,U,LE3,T,4,2,teacher,services,mother,4,0,no,yes,yes,yes,no,4,1,1,4,6,13,pass
258,M,19,U,LE3,A,4,3,services,at_home,mother,2,0,no,yes,no,yes,no,4,1,1,1,12,11,pass
259,F,18,U,GT3,T,2,1,other,other,mother,2,0,no,no,no,yes,no,5,1,2,4,8,14,pass
260,F,17,U,LE3,T,2,2,services,services,father,4,0,no,no,yes,yes,yes,3,1,1,2,0,0,fail
261,F,18,U,GT3,T,4,3,services,other,father,2,0,no,yes,yes,yes,yes,3,1,3,2,21,18,pass
262,M,18,U,GT3,T,4,3,teacher,other,mother,2,0,no,yes,yes,yes,no,4,1,1,3,2,8,fail
263,M,18,R,GT3,T,3,2,other,other,mother,3,0,no,no,no,yes,no,5,1,1,3,1,12,pass
264,F,17,U,GT3,T,3,3,other,other,mother,3,0,no,no,no,yes,no,3,1,1,4,4,9,fail
265,F,18,U,GT3,T,2,2,at_home,services,mother,3,0,no,yes,yes,yes,yes,4,1,1,3,0,0,fail
266,M,18,R,LE3,A,3,4,other,other,mother,2,0,no,yes,yes,yes,no,4,3,4,1,13,17,pass
267,M,17.3903412002891,U,GT3,T,3,1,services,other,mother,2,0,no,no,yes,yes,yes,5,3,4,5,2,10,pass
268,F,18,R,GT3,T,4,4,teacher,other,mother,2,0,no,no,yes,yes,no,4,2,2,4,8,11,pass
269,M,18,U,GT3,T,4,2,health,other,father,2,0,no,yes,yes,yes,yes,5,1,3,5,10,10,pass
270,F,18,R,GT3,T,2,1,other,other,mother,2,0,no,yes,no,no,yes,4,1,2,3,0,0,fail
271,F,15.7611310140746,U,GT3,T,3,3,other,services,other,2,2,no,yes,yes,yes,no,4,3,3,5,15,9,fail
272,F,18,U,GT3,T,2,3,other,services,father,4,0,no,yes,yes,yes,yes,4,1,3,2,4,14,pass
273,F,18,U,LE3,T,1,1,other,other,mother,2,0,no,yes,yes,yes,no,4,1,1,3,2,11,pass
274,M,17,R,GT3,T,1,2,at_home,at_home,mother,2,0,no,yes,yes,yes,yes,3,2,2,1,2,14,pass
275,F,17,U,GT3,T,2,4,at_home,health,mother,2,0,no,yes,yes,yes,yes,4,1,1,1,2,10,pass
276,F,17,U,LE3,T,2,2,services,other,mother,2,0,yes,yes,yes,yes,yes,4,2,3,5,6,12,pass
277,F,18,R,GT3,A,3,2,other,services,mother,2,0,no,no,no,no,yes,4,1,1,5,75,9,fail
278,M,18,U,GT3,T,4,4,teacher,services,mother,1,0,no,no,yes,yes,no,3,1,4,3,22,9,fail
279,F,18,U,GT3,T,4,4,health,health,father,2,1,yes,yes,no,yes,yes,2,1,1,4,15,8,fail
280,M,18,U,LE3,T,4,3,teacher,services,mother,1,0,no,no,yes,yes,no,4,1,2,1,8,10,pass
281,M,17,U,LE3,A,4,1,services,other,mother,1,0,no,no,yes,yes,yes,4,2,4,5,30,8,fail
282,M,17,U,LE3,A,3,2,teacher,services,mother,1,1,no,no,no,yes,no,4,3,4,3,19,10,pass
283,F,18,R,LE3,T,1,1,at_home,other,mother,4,0,no,yes,yes,yes,no,5,1,1,3,1,12,pass
284,F,18,U,GT3,T,1,1,other,other,mother,2,0,yes,no,no,yes,no,5,1,1,4,4,10,pass
285,F,17,U,GT3,T,2,2,other,other,mother,2,0,no,yes,no,yes,no,5,1,2,5,4,11,pass
286,M,17,U,GT3,T,1,1,other,other,father,2,0,no,no,yes,yes,no,4,1,2,4,2,11,pass
287,F,18,U,GT3,T,2,2,at_home,at_home,mother,3,0,no,yes,yes,yes,no,4,1,2,2,5,19,pass
288,F,17,U,GT3,T,1,1,services,teacher,mother,3,0,no,yes,yes,yes,no,4,1,1,3,6,12,pass
289,M,18,U,GT3,T,2,1,services,services,mother,3,0,no,no,yes,yes,no,4,1,3,2,6,14,pass
290,M,18,U,LE3,A,4,4,teacher,teacher,mother,2,0,no,yes,yes,yes,no,5,1,1,2,9,15,pass
291,M,18,U,GT3,T,4,2,teacher,other,mother,2,0,no,yes,yes,yes,yes,4,1,4,5,11,11,pass
292,F,17,U,GT3,T,4,3,health,services,mother,3,0,no,yes,yes,yes,no,4,1,2,3,0,15,pass
293,F,18,U,LE3,T,2,1,services,at_home,mother,2,1,no,no,no,yes,yes,5,1,1,5,12,13,pass
294,F,17,R,LE3,T,3,1,services,other,mother,4,0,no,yes,yes,yes,no,3,1,1,3,6,18,pass
295,M,18,R,LE3,T,3,2,services,other,mother,3,0,no,yes,yes,yes,no,5,1,1,4,8,14,pass
296,M,17,U,GT3,T,3,3,health,other,mother,1,0,no,yes,yes,yes,no,4,1,3,5,4,11,pass
297,F,19,U,GT3,T,4,4,health,other,other,2,0,no,yes,yes,yes,no,2,2,3,2,0,0,fail
298,F,18,U,LE3,T,4,3,other,other,other,2,0,no,yes,yes,yes,yes,4,1,2,2,10,8,fail
299,F,18,U,GT3,T,4,3,other,other,father,4,0,no,yes,yes,yes,no,4,1,1,3,0,14,pass
300,M,18,U,LE3,T,4,4,teacher,teacher,mother,1,0,no,yes,yes,yes,yes,1,2,2,1,5,16,pass
301,F,18,U,LE3,A,4,4,health,other,mother,2,0,no,yes,no,yes,yes,4,1,1,4,14,11,pass
302,M,17,U,LE3,T,4,4,other,teacher,father,1,0,no,no,yes,yes,no,4,2,2,5,0,10,pass
303,F,17,U,GT3,T,4,2,other,other,mother,3,0,no,yes,yes,yes,no,4,1,1,3,0,14,pass
304,F,17,U,GT3,T,3,2,health,health,father,4,0,no,yes,yes,yes,no,5,1,2,5,0,18,pass
305,M,17.5587118468624,U,GT3,T,3,3,other,other,other,2,1,no,yes,no,yes,yes,4,1,1,3,20,13,pass
306,F,18,U,GT3,T,2,4,services,at_home,other,2,1,no,yes,yes,yes,no,4,1,1,3,8,12,pass
307,M,20,U,GT3,A,3,2,services,other,other,1,0,no,no,no,yes,no,5,1,1,5,0,18,pass
308,M,19,U,GT3,T,4,4,teacher,services,other,1,1,no,yes,yes,yes,yes,4,1,1,4,38,8,fail
309,M,19,R,GT3,T,3,3,other,services,father,2,1,no,no,no,yes,yes,4,1,2,5,0,12,pass
310,F,19,U,LE3,T,1,1,at_home,other,other,2,1,yes,yes,no,yes,no,4,1,3,3,18,10,pass
311,F,17.6982717406264,U,LE3,T,1,2,services,services,other,2,1,no,no,no,yes,yes,4,2,2,3,0,0,fail
312,F,19,U,GT3,T,2,1,at_home,other,other,2,0,no,yes,no,no,yes,3,1,1,2,20,13,pass
313,M,16.6330505927092,U,GT3,T,1,2,other,services,other,2,1,no,no,no,yes,no,4,2,2,4,3,11,pass
314,F,19,U,LE3,T,3,2,services,other,other,2,1,no,yes,yes,yes,yes,4,1,2,1,22,11,pass
315,F,19,U,GT3,T,1,1,at_home,health,other,3,2,no,no,no,yes,yes,4,1,1,3,14,13,pass
316,F,19,R,GT3,T,2,3,other,other,other,3,1,no,no,no,yes,yes,4,1,1,3,40,11,pass
317,F,18,U,GT3,T,2,1,services,other,mother,2,0,no,yes,yes,yes,no,5,1,2,1,0,0,fail
318,F,18,U,GT3,T,4,3,other,other,mother,3,0,no,yes,yes,yes,yes,4,1,1,5,9,9,fail
319,F,17,R,GT3,T,3,4,at_home,services,father,3,0,no,yes,yes,yes,no,4,2,5,5,0,10,pass
320,F,18,U,GT3,T,4,4,teacher,other,mother,2,0,no,yes,yes,yes,no,4,3,3,5,2,11,pass
321,F,17,U,GT3,A,4,3,services,services,mother,2,0,no,yes,yes,yes,yes,5,1,2,5,23,13,pass
322,F,17,U,GT3,T,2,2,other,other,mother,2,0,no,yes,no,yes,yes,4,1,1,3,12,9,fail
323,F,17.1858968752623,R,LE3,T,2,2,services,services,mother,3,0,no,yes,yes,yes,no,3,2,2,3,3,11,pass
324,F,17,U,GT3,T,3,1,services,services,father,3,0,no,yes,no,yes,no,3,2,3,5,1,15,pass
325,F,17,U,LE3,T,0,2,at_home,at_home,father,3,0,no,no,no,yes,no,3,2,3,2,0,15,pass
326,M,18,U,GT3,T,4,4,other,other,mother,3,0,no,no,no,yes,no,4,2,2,3,3,11,pass
327,M,17,U,GT3,T,3,3,other,services,mother,1,0,no,no,no,yes,no,4,3,5,5,3,16,pass
328,M,17,R,GT3,T,2,2,services,other,mother,1,0,no,yes,no,yes,no,4,5,5,4,8,10,pass
329,F,17,U,GT3,T,4,4,teacher,services,mother,3,0,no,yes,yes,yes,no,5,1,3,4,7,9,fail
330,F,17,U,GT3,T,4,4,teacher,teacher,mother,3,0,no,yes,yes,yes,yes,4,1,2,4,4,14,pass
331,M,18,U,LE3,T,2,2,other,other,mother,4,0,no,yes,no,yes,no,4,2,4,5,2,8,fail
332,F,17,R,GT3,T,2,4,at_home,other,father,3,0,no,yes,no,yes,yes,4,1,1,5,7,14,pass
333,F,18,U,GT3,T,3,3,services,services,mother,2,0,no,no,no,yes,no,5,1,1,4,0,0,fail
334,F,18,U,LE3,T,2,2,other,other,other,2,0,no,no,no,yes,yes,4,1,1,2,0,0,fail
335,F,18,R,GT3,T,2,2,at_home,other,mother,4,0,no,no,no,yes,no,4,1,1,4,0,0,fail
336,F,17,U,GT3,T,3,4,services,other,mother,3,0,no,no,no,yes,no,4,1,3,5,16,15,pass
337,F,19,R,GT3,A,3,1,services,at_home,other,3,1,no,no,yes,yes,no,5,1,2,5,12,13,pass
338,F,17,U,GT3,T,3,2,other,other,mother,2,0,no,yes,yes,yes,yes,4,2,3,2,0,0,fail
339,F,18,U,LE3,T,3,3,services,services,mother,4,0,no,yes,no,yes,no,5,1,1,1,7,17,pass
340,F,17,R,GT3,A,3,2,other,other,mother,2,0,no,yes,yes,yes,no,4,2,3,2,4,10,pass
341,F,19,U,GT3,T,2,1,services,services,other,3,1,no,no,yes,yes,yes,4,1,3,3,4,11,pass
342,M,15.8014212392825,U,GT3,T,4,4,teacher,services,father,2,1,no,yes,no,yes,no,4,2,2,2,0,0,fail
343,M,18,U,LE3,T,3,4,services,other,mother,2,0,no,no,no,yes,yes,4,1,3,5,11,15,pass
344,F,17,U,GT3,A,2,2,at_home,at_home,father,2,1,no,yes,no,yes,yes,3,1,2,4,0,0,fail
345,F,18,U,GT3,T,2,3,at_home,other,mother,3,0,no,yes,no,yes,no,4,1,2,3,4,10,pass
346,F,16.0529721106631,U,GT3,T,3,2,other,services,mother,3,0,no,no,no,yes,yes,5,2,3,1,7,14,pass
347,M,18,R,GT3,T,4,3,teacher,services,mother,3,0,no,no,no,yes,yes,5,1,2,4,9,16,pass
348,M,18,U,GT3,T,4,3,teacher,other,mother,3,0,no,yes,yes,yes,yes,5,2,3,5,0,9,fail
349,F,17,U,GT3,T,4,3,health,other,mother,3,0,no,yes,yes,yes,yes,4,1,3,4,0,15,pass
350,M,18,R,GT3,T,3,2,other,other,mother,1,1,no,yes,no,yes,no,2,5,5,5,10,13,pass
351,M,19.2334362698172,R,GT3,T,1,1,other,services,other,2,3,no,no,no,yes,no,5,3,3,2,8,8,fail
352,M,17,U,GT3,T,3,3,health,other,mother,2,0,no,yes,yes,yes,no,4,2,3,3,2,13,pass
353,M,18,U,LE3,T,1,3,at_home,services,mother,1,1,no,no,no,no,yes,4,2,3,3,7,8,fail
354,F,19,R,GT3,T,1,1,other,other,other,1,1,no,yes,no,yes,no,4,3,3,5,4,8,fail
355,M,17.0757361071819,R,GT3,T,4,3,services,other,mother,2,0,no,yes,yes,yes,yes,4,1,3,2,4,11,pass
356,F,18,U,GT3,T,3,3,services,services,father,2,0,no,yes,no,yes,yes,5,1,1,5,0,9,fail
357,F,17,R,GT3,T,4,4,teacher,services,father,2,0,no,yes,yes,yes,no,4,1,2,5,4,13,pass
358,F,17,U,LE3,A,3,2,services,other,mother,2,0,no,no,no,yes,yes,1,1,2,5,2,11,pass
359,M,18,U,LE3,T,1,1,other,services,father,1,0,no,no,no,yes,yes,3,1,2,3,4,10,pass
360,F,18,U,LE3,T,1,1,at_home,services,father,3,0,no,no,no,yes,no,5,1,1,4,0,16,pass
361,F,18,R,LE3,A,1,4,at_home,other,mother,2,0,no,no,no,yes,yes,4,1,4,5,0,13,pass
362,M,18,R,LE3,T,1,1,at_home,other,mother,2,1,no,no,no,no,no,4,2,3,5,2,12,pass
363,F,17.7270824934356,U,GT3,T,3,3,services,services,mother,2,0,no,yes,no,yes,yes,4,1,3,3,0,10,pass
364,F,17,U,LE3,T,4,4,at_home,at_home,mother,2,0,no,yes,yes,yes,yes,2,1,1,1,0,15,pass
365,M,17,R,GT3,T,1,2,other,services,father,2,0,no,no,no,yes,no,3,1,2,3,0,12,pass
366,M,18,R,GT3,T,1,3,at_home,other,mother,2,0,no,yes,yes,yes,no,3,2,4,3,4,10,pass
367,M,18,U,LE3,T,4,4,teacher,services,mother,3,0,no,no,yes,yes,yes,4,2,2,5,0,13,pass
368,F,17,R,GT3,T,1,1,other,services,mother,1,1,no,yes,yes,yes,yes,5,1,2,1,0,0,fail
369,F,18,U,GT3,T,2,3,at_home,services,father,1,0,no,yes,yes,yes,yes,5,1,2,4,0,10,pass
370,F,18,R,GT3,T,4,4,other,teacher,father,2,0,no,yes,yes,yes,yes,3,4,2,5,10,11,pass
371,F,19,U,LE3,T,3,2,services,services,other,2,2,no,no,no,yes,yes,3,1,1,3,4,9,fail
372,M,18,R,LE3,T,1,2,at_home,services,father,1,0,no,yes,yes,no,yes,4,2,3,3,3,12,pass
373,F,17,U,GT3,T,2,2,other,at_home,mother,3,0,no,no,no,yes,yes,3,1,1,3,8,11,pass
374,F,17,R,GT3,T,1,2,other,other,mother,1,0,no,no,no,yes,no,3,1,3,1,14,5,fail
375,F,18,R,LE3,T,4,4,other,other,mother,3,0,no,no,no,yes,no,5,1,1,1,0,19,pass
376,F,18,R,GT3,T,1,1,other,other,mother,3,0,no,no,no,yes,no,4,1,2,4,2,10,pass
377,F,17.2456853070713,U,GT3,T,4,2,health,other,other,3,2,no,yes,yes,yes,yes,5,1,1,3,4,15,pass
378,F,18,R,LE3,T,4,4,teacher,services,mother,2,0,no,no,yes,yes,no,5,3,4,2,4,10,pass
379,F,18,U,GT3,T,3,3,other,other,mother,2,0,no,no,yes,yes,yes,4,1,2,1,0,15,pass
380,F,17,R,GT3,T,3,1,at_home,other,mother,2,0,no,yes,yes,yes,no,4,2,3,1,17,10,pass
381,M,17.4072396324986,U,GT3,T,4,4,teacher,teacher,father,2,0,no,no,yes,yes,no,3,1,4,2,4,14,pass
382,M,17.8598260660537,R,GT3,T,2,1,other,other,mother,1,0,no,no,no,yes,yes,4,1,3,5,5,7,fail
383,M,17,U,GT3,T,2,3,other,services,father,2,0,no,no,no,yes,no,4,1,1,3,2,10,pass
384,M,17.6285823897349,R,GT3,T,1,1,other,services,mother,1,1,no,no,no,yes,no,4,1,3,5,0,0,fail
385,M,18,R,GT3,T,4,2,other,other,father,1,1,no,no,yes,yes,no,5,4,3,3,14,5,fail
386,M,18,R,GT3,T,2,2,at_home,other,mother,3,0,no,no,yes,yes,no,5,1,3,4,2,10,pass
387,F,18,R,GT3,T,4,4,teacher,at_home,mother,1,0,no,yes,yes,yes,yes,4,2,2,5,7,6,fail
388,F,19,R,GT3,T,2,3,services,other,mother,3,1,no,no,no,yes,no,5,1,2,5,0,0,fail
389,F,18,U,LE3,T,3,1,teacher,services,mother,2,0,no,yes,yes,yes,no,4,1,1,1,0,8,fail
390,F,17.8658728223442,U,GT3,T,1,1,other,other,mother,2,1,no,no,no,yes,no,1,1,1,5,0,0,fail
391,M,20,U,LE3,A,2,2,services,services,other,2,2,no,yes,yes,yes,no,5,4,5,4,11,9,fail
392,M,16.9127844204195,U,LE3,T,3,1,services,services,mother,1,0,no,no,no,yes,no,2,3,4,2,3,16,pass
393,M,21,R,GT3,T,1,1,other,other,other,1,3,no,no,no,yes,no,5,3,3,3,3,7,fail
394,M,18,R,LE3,T,3,2,services,other,mother,1,0,no,no,no,yes,no,4,3,4,5,0,10,pass
395,M,19,U,LE3,T,1,1,other,at_home,father,1,0,no,no,no,yes,no,3,3,3,5,5,9,fail
